,Original,Incomplete
52.89,1024,591
158.67,310,167
264.45,197,116
370.23,128,77
476.01,122,72
581.79,104,67
687.57,106,68
793.35,81,50
899.13,83,47
1004.91,66,45
1110.69,53,36
1216.47,54,28
1322.25,49,30
1428.03,52,37
1533.81,50,30
1639.59,41,23
1745.37,36,17
1851.15,31,21
1956.93,29,20
2062.71,28,20
2168.49,30,17
2274.27,26,16
2380.05,15,9
2485.83,11,7
2591.61,14,12
2697.39,8,4
2803.17,9,6
2908.95,12,7
3014.73,15,11
3120.51,6,6
3226.29,14,7
3332.07,10,7
3437.85,7,4
3543.63,4,3
3649.41,5,3
3755.19,4,2
3860.97,7,4
3966.75,2,0
4072.53,2,1
4178.31,1,1
4284.09,0,0
4389.87,1,0
4495.65,1,0
4601.43,1,1
4707.21,0,0
4812.99,1,0
4918.77,0,0
5024.55,0,0
5130.33,2,1
5236.11,2,2
